group_id,tag_code,tag_value,operator
1,USER_CONSUME,>10000,AND
1,USER_CONSUME_FREQUENCY,>2,AND
2,USER_AGE,18-25,AND
2,USER_GENDER,女,AND
3,USER_ACTIVE_DAYS,>30,AND
3,USER_ACTIVE_COUNT,>10,AND
4,USER_REGISTER_DAYS,<7,AND
5,PROD_MONTHLY_SALES,>1000,AND
6,PROD_LAUNCH_DAYS,<30,AND
7,PROD_DISCOUNT_RATE,>0.7,AND
8,PROD_RATING,>4.5,AND
9,SELLER_IS_SELF_OPERATED,1,AND
10,SELLER_PRAISE_RATE,>98,AND
11,SELLER_ESTABLISH_DAYS,<30,AND
12,SELLER_VIOLATION_COUNT,>3,AND
13,USER_GENDER,男,AND
13,USER_PRODUCT_CATEGORY,电子产品,AND
14,USER_BUY_COUNT_6MONTH,>20,AND
15,USER_MEMBER_LEVEL,premium,AND
16,PROD_CATEGORY,热门,AND
17,SELLER_SHIP_PROMISE,24小时内,AND
18,PROD_PRICE,>10000,AND
19,USER_AGE,18-22,AND
20,SELLER_CITY,本地,AND
1,USER_MEMBER_LEVEL,高级,OR
2,USER_INTEREST,时尚,OR
3,USER_LOGIN_COUNT,>5,AND
5,PROD_STATUS,上架,AND
6,PROD_IS_NEW,1,AND
7,PROD_IS_DISCOUNT,1,AND
8,PROD_COMMENT_COUNT,>100,AND
9,SELLER_STATUS,正常,AND
10,SELLER_RATING,>4.5,AND
13,USER_AGE,25-35,AND
14,USER_CONSUME_AMOUNT,>5000,AND
16,PROD_SALES_VOLUME,>500,AND
17,SELLER_DELIVERY_SPEED,快,AND
18,PROD_BRAND,奢侈品牌,AND
19,USER_EDUCATION,大学,AND
20,SELLER_BUSINESS_SCOPE,本地服务,AND