group_code,tag_code,tag_value,operator
HIGH_VALUE_USER,USER_CONSUME,>10000,AND
HIGH_VALUE_USER,USER_CONSUME_FREQUENCY,>2,AND
YOUNG_FEMALE_USER,USER_AGE,18-25,AND
YOUNG_FEMALE_USER,USER_GENDER,女,AND
ACTIVE_USER,USER_ACTIVE_DAYS,>30,AND
ACTIVE_USER,USER_ACTIVE_COUNT,>10,AND
NEW_USER,USER_REGISTER_DAYS,<7,AND
HOT_PRODUCT,PROD_MONTHLY_SALES,>1000,AND
NEW_ARRIVAL_PRODUCT,PROD_LAUNCH_DAYS,<30,AND
DISCOUNT_PRODUCT,PROD_DISCOUNT_RATE,>0.7,AND
HIGH_RATED_PRODUCT,PROD_RATING,>4.5,AND
SELF_OPERATED_SELLER,SELLER_IS_SELF_OPERATED,1,AND
HIGH_PRAISE_SELLER,SELLER_PRAISE_RATE,>98,AND
NEW_SELLER,SELLER_ESTABLISH_DAYS,<30,AND
RISK_SELLER,SELLER_VIOLATION_COUNT,>3,AND
MALE_TECH_USER,USER_GENDER,男,AND
MALE_TECH_USER,USER_PRODUCT_CATEGORY,电子产品,AND
FREQUENT_BUYER,USER_BUY_COUNT_6MONTH,>20,AND
PREMIUM_MEMBER,USER_MEMBER_LEVEL,premium,AND
POPULAR_CATEGORY_PRODUCT,PROD_CATEGORY,热门,AND
FAST_DELIVERY_SELLER,SELLER_SHIP_PROMISE,24小时内,AND
LUXURY_PRODUCT,PROD_PRICE,>10000,AND
STUDENT_USER,USER_AGE,18-22,AND
LOCAL_SELLER,SELLER_CITY,本地,AND
HIGH_VALUE_USER,USER_MEMBER_LEVEL,高级,OR
YOUNG_FEMALE_USER,USER_INTEREST,时尚,OR
ACTIVE_USER,USER_LOGIN_COUNT,>5,AND
HOT_PRODUCT,PROD_STATUS,上架,AND
NEW_ARRIVAL_PRODUCT,PROD_IS_NEW,1,AND
DISCOUNT_PRODUCT,PROD_IS_DISCOUNT,1,AND
HIGH_RATED_PRODUCT,PROD_COMMENT_COUNT,>100,AND
SELF_OPERATED_SELLER,SELLER_STATUS,正常,AND
HIGH_PRAISE_SELLER,SELLER_RATING,>4.5,AND
MALE_TECH_USER,USER_AGE,25-35,AND
FREQUENT_BUYER,USER_CONSUME_AMOUNT,>5000,AND
POPULAR_CATEGORY_PRODUCT,PROD_SALES_VOLUME,>500,AND
FAST_DELIVERY_SELLER,SELLER_DELIVERY_SPEED,快,AND
LUXURY_PRODUCT,PROD_BRAND,奢侈品牌,AND
STUDENT_USER,USER_EDUCATION,大学,AND
LOCAL_SELLER,SELLER_BUSINESS_SCOPE,本地服务,AND